Scammer Name,Platform,X Handle,Telegram Channel,Victims Count,Total Lost USD,Verification Level,Scam Type,Last Updated,Notes,Wallet Address,Evidence Links,Scan Date,Scanner,Additional Notes
Mania (Degen_chad119),X,@Degen_chad119,t.me/Degen_chad119,0,$0,LEGITIMATE,PAID PROMOTER,2026-04-04,Verified KOL/influencer (blue checkmark). 7.8K followers. Self-admitted 'KOL For Notable projects' partnered with @MezoNetwork. PAID PROMOTER account - content is sponsored. Risk Score: 2.2/10 (LOW). NOT A SCAM.,N/A,https://x.com/Degen_chad119,2026-04-04,Jarvis (Chrome CDP Scan),Verified account (blue checkmark). Paid promoter - verify promoted projects independently.
Crypto_Genius09,X,@Crypto_Genius_09,,1,$50,RESOLVED,AMA Completed,2026-04-02,Removed from scammer database - AMA was completed. Victim reported $50 loss but dispute was resolved. Account later suspended by X (April 2026).,,https://x.com/Crypto_Genius09,2026-04-02,Jarvis (Removed),AMA completed - removed from active scammers.
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xcbe79844f038fa8612e4b9a9c4264f71e0d47a97fd2f5257a504556728bfacaf,,,,
AGNT (AI AGENTS ACADEMY),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,3Y2auduMDvrd3NguaXZK7qhHPud3dZ3Tp8DNgbhnZNFA,,,,
AGNT (AgentsGang),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,3jpn5jikoB8P4Pzxy4CaV28zWnBcRrVHFpHCHKeZ9HbU,,,,
AGNT (agnt.markets),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,AbnjkHj1bmwUAZDTs38nGVwe3eJeWHUoxmSgS7iZwfmZ,,,,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x76d50b693a0b1c21d8c2a121196061b6f4fbb21196722e1cdf1f0ea2bc9955da,,,,
AGENTIC (Agentic),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x1ff4f9123458FDaf10b6af822190060fc8C22D11,,,,
AGENTIC (AgenticMolt Finance),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,E77S2Ut4nMwtZJfzDdVXumCeoG6sbE5z3qg3nfVWoH8d,,,,
AGENTIC (the agentic era),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,8D8gprA32uEs4npkNN9V95YEMC3JtCcUJWQVpVDUDjCd,,,,
AGENTIC (agentic dog),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,G2a1xRaiX5HkcNnNQMfb6HFZVgSMPwAJ6YD5hNFcNmSu,,,,
AGENTIC (Agentic Studio),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x63AB7B818552019FBb7906bb405acE88a6738Cbd,,,,
LOBSTER (The Agentic Computer),Solana Token,@LOBSTER,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x40f7af4ab6ab3bcb805f31181bedba681d243114b955630eda905a7ddb636713,,,,
AGW (Agentic Wallets),Solana Token,@AGW,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x57cfd8fd987a7a4652901ac64a5b6cf9897a137dbd634fa87e4bcb921e7b7a27,,,,
OAF (Open Agentic Framework),Solana Token,@OAF,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x8d7b33042439c81bd0792f1ee9ffe3eb6dff70bdb168c2526baa1835a9611bb4,,,,
CORA (Coragentic),Solana Token,@CORA,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xd894f29c9c02fc012c110b75f7e7143056d90d1a66f1ff0b270ae0c2f21edd8e,,,,
AGBETS (AgenticBets),Solana Token,@AGBETS,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xe5d4a1faffe69c63e8b83f4dfd331f898f1ea2fa97c990b85e91e2b0e55d040c,,,,
ELGNT (ElizaAgentic),Solana Token,@ELGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,58B7zrQyGqx1NKZUPefNGu6qVX8zxcaRXS3oAXfW52aZ,,,,
MOLTIC (Molt Agentic),Solana Token,@MOLTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,DLPNQLfYUp31vj5iUcsATQP5jTAwW9GbvH8RRsespGUs,,,,
LOBSTER (The Agentic Computer),Solana Token,@LOBSTER,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,BK3Y554TDcadjM8mBtPJnMabMmg4K8LBvwdmhtxsynot,,,,
STABLE (AgenticEconomy),Solana Token,@STABLE,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,6ay8Jg8d91zQAiQi1zCVU8aYVaaS1pGfFrpXcTs66wQs,,,,
AGM (Agentic mode),Solana Token,@AGM,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x2888F8800e7B842F396Ad585F46cD1727249388f,,,,
AI (Agentic Internet),Solana Token,@AI,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,9URfJtPBd9FFJLNviUnZwhgDqhWc1RdQyHj36DpJG861,,,,
ERA (The Agentic Era),Solana Token,@ERA,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,3RfdGacos1KtsigGZDPPMgU1DXXtXZ9xkpXRQo523wrn,,,,
OPENRIFT (AGENTIC AGENT TERMINAL),Solana Token,@OPENRIFT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,AZj8SKL5L3dazic5bnTsREJ4wWZPDfqWeDtXJLmdf7h3,,,,
AGT (Agentic Wallet),Solana Token,@AGT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,AdXTCJBTnpG2vBCW2qvXmRTc56qVjpz9oYoueP8RqZCF,,,,
HYPERSCAPE (The Agentic RPG),Solana Token,@HYPERSCAPE,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,3jgc9fmKwaP5yttr7wkrffkbnKRtbXHPGHTUixHkEmdX,,,,
LOBSTERCOR (Agentic Hedge Fund),Solana Token,@LOBSTERCOR,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,Fy9SXBYDCAxGoVovyQEUDmdfkCDf61NNipsRRQbZLw2E,,,,
SAW (Solana Agentic Wallets),Solana Token,@SAW,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,CjDpYwEVkx3n4UxtUeiyUyK2G6GDoUUCoLEMfeuieibH,,,,
LOBSTERCOR (Agentic Hedge Fund),Solana Token,@LOBSTERCOR,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,6Qejw7aV8rjJRKNmHxiY9aQoS1K42t55R4CS9G53WNwG,,,,
AGENTIC CZ (Agentic CZ),Solana Token,@AGENTIC CZ,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xC41a2A9BC2CbDcb021eCa0D8E29A251A5d85ce7B,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xF45213eB8E1f7B64a4931F644aD849FAD5Cb1f8a,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x38aA7B3686c7C1BbAA20ED7Fba9E3d8AbF9F110D,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x37217c424f8c84FEAc1E5DD26a473c94461327EC,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xbCddDfD65a678883334eeaa490f5195B006e5416,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x0C5Ca28f7B11f47Cd6ED35022A2b32EbE3b29331,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x843Fe0dd24B91A7288fab6edD85E158A70A3B2a6,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xc0fC7FECA1f502e2FBE960562e9b8a039d6705c1,,,,
BRO (bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,EwELzg9s4MeFry91arHc4QEPWmDvbbAm9nQWTGSaD1Tp,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x0095a230a6085477B6e3A212357C1C6542a1d9D6,,,,
BRO (TERABRO),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,VZFZQ75NXQPWUJXHUNBFKUEFDWYGOW7QBGWFNHJDAOBUEK7VQRIZHHEOZI,,,,
BRO (Bald Ronald McDonald),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x297a75175EF098094b2Db960a91b81a8B99924CC,,,,
BRO (Bald Ronald McDonald),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0x2D9e5425827Df83F008Fd840eC700AdeAc852327,,,,
BRO (Bald Ronald McDonald),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xea23BEBc4d398B7f2a317Eb863e264B18aa02aA3,,,,
BRO (BRO),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,0xFe0D683f2017eD9e7DF6A7382AA7a110eAa444bE,,,,
BRO (BOR),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-09,,HHimZERBwcdooNXUwTNwWv2n7caYSLuDe4NeXRJtjCAF,,,,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0xbe936e2e1913efc11bc3af16d86fef3a10eff61addb7a2aa2169b0cd4d13d347,,,,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0xd23b5aec7407612f1cbc56d39124236e1cafba74f21156b5ce6945a19194f9c0,,,,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0x32cc97d9867513fafb0d3db0b6bf441c901625f64c54e9fcf2a3c8b789e95f81,,,,
AGNT (Agnt Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,4z4FKfi7jgsEZhMFTYtzxLC1bEWMBwLNXuR25TvRBoqW,,,,
AGNT (AGNT Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,Vm4izTp5VSfYXctWNBwEi14LPxQE38W1EyuAvBcKorY,,,,
AGNT (AGNT Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,DJBzpqFByNfqhfxgHNtweQm4HGLkYKNHZsPmTZRHkbBo,,,,
AGNT (AGNT Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,CBuHHkFoU3Er8ZDBoxNYc51626Uhoa7oCKcX9xY82p33,,,,
AGNT (AGNT Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,EWag4PT9xJcLscehiVWzu5yz3n9PBY2fio1QG8L3Etyo,,,,
AGNT (AGNT Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,Fod1ecanNJdd3gdWAQZVg8sK3FDWvPnuQ2uqkiWu271Z,,,,
AGNT (AGNT Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,DJA4CPinU1VNCiGswoPHvHh691Gz2pJEnvtMR7bpjfaB,,,,
AGNT (Agent A.I.),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0xcb34bc0E124B888C09E711674911238581cEB526,,,,
AGNTCBRO (Agentic Bro),Solana Token,@AGNTCBRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,BwaPiaK2D43zt443X6WczJ4rDEAmdCBA5MDRzZ3rQD9K,,,,
AGNTC (首个原生 Agentic 代币发射台),Solana Token,@AGNTC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0xb6e0E3f29e01d691caf3A502951b63156C32A620,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,3fSH4urFhpfTzKufFV2fGFAhF5Rzas4FpibrLUrTAdGJ,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,5nBH45mXqDibDxRNRoHSZr8VB12awoBK3sbtdYp5V7G4,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,4wLdKEVgmY6n6REq2L5VHLHw82vEWEjDs723DG7XiojE,,,,
AGENTIC (the agentic era),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,3tyrwuGjaTs3UqL8rQPaeKvQtiEfZk4DxALe5a5qSie9,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,98hg3VY99xLo2E8AV34CzcNv1E3VLVT6GdGPNgZF1ZK1,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,8TR3rT4mY159BV6cxbh6KRtvYtfzCAkXgxP3tpnhqMUE,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,5bqTFBxSGhbKN9PCgZWWWPD16jWHL2rfwf8fs1weKJAr,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,Dwgk7Y5Mb7GhPDaxCZrDge9xbxaRpWtxwyKAgqEhxEvu,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,CMVuKESZp93BSrvvRTkY4GK4yEdieCnGi2aVzeBrou81,,,,
AGENTIC (The Agentic Era),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,AfmwqmBPxk9NWTY9SVwHYRVCFFxjw3QGnGdun8AfPjBM,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,RiqLqcdNLaSp7kS1y42BVYAMGYGiYPxxAyVBw1RSkdX,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,YqymSq3fYCKJ9nRaFg6QBCd94wP3pvpvq1GC8HUo7Gv,,,,
AGENTIC (the agentic era),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,3kv7NGxb3zBvEYTDNKsY6hTYmuBqp6bUSZ5TwbTnfoAF,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,5eePZk24E4LvoDKergY2nisbRB9tafoA3T5WfwD48qLB,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,2zerT1Y1UH4XALNj589T52jwMEBoN3HenY4mkJQEA2wJ,,,,
AGENTIC (Agentic Comeback),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,EUc674dTg8pzsvVMYzBEqgdkbCLPMKfkcKxYXS7bfFum,,,,
AGENTIC (ALREADY ENDORSED A CA CHECK),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,8RPWghgCeCitpHYKeXZjeCG5DTn1HgajDoXfTXP3Zepw,,,,
AGENTIC (ALREADY ENDORSED A CA CHECK),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,CsVGW6yGSue6TcvnHjHt7TgnWQd3BqaLJJj1GFtqUW8K,,,,
AGENTIC (ALREADY ENDORSED A CA CHECK),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,E16Rn7zvouUpgGq1YLY2iX1EwhQEmBcFLjdeTkGi1g2s,,,,
AGENTIC (CLAIMED AND ENDORSED ALREADY),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,5vSugzD3md2dDiWcjcVL28vqkGsxKVTEZvJnxCN2NJGU,,,,
AGENTIC (CLAIMED AND ENDORSED ALREADY),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,FL2z8xoURjcVQU5psZ2ABHUBF6SjXfatsyQMzkfdEXU,,,,
AGENTIC (CLAIMED AND ENDORSED ALREADY),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,BGbhkAs8iF7MxyZNsqWSQvdRLxXCQyLMh6VrqAABhxu7,,,,
AGENTIC (Agentic AI Era),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0xa90c27fc37DE92caEf75b70dD01F14CC14944444:4meme,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,8xnRN7uA3httRZ8Ct7RSRkqexwpGvP35oixoNanotgKp,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,89tfEokHp6uWxXgKKAGEC7nkJwk99mupRScQJ9bCLzzG,,,,
AGENTIC (Agentic Wallet),Solana Token,@AGENTIC,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,D7ZqWRYqGDJy1nKYB9yFms3khiWyDTvA9Y12PwvcpTJQ,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0x708Bf13688fcD4E6c4CdCAa979bA0c1e03915Dca,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0xEF7BEE0479B784033cDBa2e01446E3C3d35e3517,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0x3aeB4A6091c3D864d2Cb371a98e0E2988072cFA0,,,,
BRO (DexBrowser),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0xEE4E010b2b106b26eF9c77E46b2c998C6D02538B,,,,
BRO (Neurobro by Virtuals (Wormhole)),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,ApXxY5oyJFDL2Eggo9SZtMRQVbKzfsfFqeLhquy75m1F,,,,
BRO (Bro Cat),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,G6un3S8c3kp2NR4KfzSgNeTdBi8VQJtd6rUbGvTQCG3L,,,,
BRO (Bro),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,AVz2DwyaPSa3thvjGu47zYz2JFbBV7bLth2MGLquVTxZ,,,,
BRO (BROOOOOO),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,Awnj7cpQfu1bExn5Zvf5ZoLjTq1VMbw7HirfpLpjMXS,,,,
BRO (BROmance),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0x096F153974aA4cb64D452FD69d476F2bA84Fb787,,,,
BRO (me and),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,CGkJdJr1nkPe8GgRQLBpMHkhYw8JvvEoDLfWMEdFA1e9,,,,
BRO (me and),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,AvbsD3smc7xpV5hhdaMqtZq58rnHkB5Admzso3CUQdF,,,,
BRO (DexBrowser),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,0x977166CF19d882246B5995175abeCAAf19b8CF80,,,,
BRO (Brokkr),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,7jbUgg8ffy6k7j5TGStWcjd4BjcyP5E7VgDyMYH4sPvY,,,,
BRO (Broddie),Solana Token,@BRO,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-10,,7doNintKEGHXWpa679Ki9ih17BMFn8BqqpoE4wPDihX1,,,,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xebe171fcaa290227f3e466d637bab9e8f3c472b3a013fb2315c5c9a222feb65a,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x6cA992f910548fd2204f932022f8BE7E40749567,
AGNT (AGNT),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xAa567b4bd5AdE0D049D9A795CbaC436894cbbDE4,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x4e8e10917e6354884d1787dc798b586929a6f71cb2ff2f590385099e08b2778e,
AGNT (AGNT.GG),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,7mtKKWk5RoVgVqZ7WYu38gTvxi9TpTttaqiqw3Ud74Mb,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xA45736b45805A5C654Fbf096D3F766DAE619e990,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x83860b0772682b6250f3d6586aefa510a6bbb44bf783eaadc57513a687c76bc7,
AGNT (AGNT Chain),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,6VYDdxAgy9jBfk4sdHTMRX4LHCW8LBqpz873tJkhhc9o,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0x4240c569b647f97155bf2eba1cc981bd4918a45207308e7dcc7bc4b6222557e0,
AGNT (AGNT SOCIAL),Solana Token,@AGNT,,Unknown,Unknown,HIGH RISK,Token Impersonation,2026-04-11,,0xb8ff242dD1544Cb6C61Bf9602ac3419024e1625E,
